Dollar,Total1,HDBDwellingsTotalHDB,HDBDwellings12RoomFlats2,HDBDwellings3RoomFlats,HDBDwellings4RoomFlats,HDBDwellings5RoomExecutiveFlats,CondominiumsOtherApartments,LandedProperties
Total,11777,8731,2521,5868,8827,12244,21830,28937
Below 25,7289,6802,4023,5601,7934,6988,13220,5439
25 - 29,10565,10275,4507,8465,10434,11771,11570,15712
30 - 34,12827,11627,3468,8888,11717,14973,17493,24438
35 - 39,14193,11130,3557,7821,11316,13545,22546,29997
40 - 44,15120,10971,3128,7241,10204,14529,26277,32110
45 - 49,15167,9729,3228,6999,9058,12765,29480,34589
50 - 54,13198,9644,2892,6688,8886,13230,21656,38093
55 - 59,11860,8094,2318,4879,7698,12936,20600,41866
60 - 64,8442,5486,2026,3543,5479,9437,18945,25824
65 & Over,5045,2858,1684,2247,3052,4626,13569,16367
